threshold_C,precision,recall,f1
47.9,0.6753246753246753,0.9029622063329928,0.7727272727272727
47.92,0.6750764525993884,0.9019407558733401,0.7721906427634455
47.94,0.6761102603369066,0.9019407558733401,0.7728665207877461
47.96,0.6763803680981595,0.9009193054136875,0.7726675427069645
47.97,0.6774441878367975,0.898876404494382,0.7726075504828797
47.98,0.6779661016949152,0.898876404494382,0.7729468599033816
48.0,0.6777178103315343,0.8978549540347294,0.7724077328646749
48.02,0.6782675947409126,0.8958120531154239,0.7720070422535212
48.04,0.6793183578621224,0.8958120531154239,0.7726872246696034
48.07,0.6798449612403101,0.8958120531154239,0.7730277655354783
48.11,0.6795965865011637,0.8947906026557712,0.7724867724867726
48.13,0.679098679098679,0.8927477017364658,0.7714033539276258
48.14,0.6788491446345256,0.891726251276813,0.7708609271523179
48.15,0.6785992217898833,0.8907048008171604,0.7703180212014135
48.2,0.6783489096573209,0.8896833503575077,0.7697746354396819
48.21,0.6788776305533905,0.8896833503575077,0.7701149425287357
48.22,0.6794071762870515,0.8896833503575077,0.7704555506413092
48.23,0.6799375487900078,0.8896833503575077,0.7707964601769911
48.24,0.68046875,0.8896833503575077,0.7711376715360779
48.25,0.6802189210320563,0.8886618998978549,0.7705934455270149
48.26,0.6799687010954617,0.8876404494382022,0.7700487372618521
48.27,0.6805011746280345,0.8876404494382022,0.7703900709219859
48.29,0.6802507836990596,0.8866189989785496,0.7698447893569845
48.31,0.68,0.8855975485188968,0.769299023957409
48.33,0.6797488226059655,0.8845760980592441,0.7687527740790058
48.35,0.6794972505891594,0.8835546475995915,0.7682060390763766
48.36,0.6805664830841857,0.8835546475995915,0.7688888888888887
48.37,0.6811023622047244,0.8835546475995915,0.7692307692307693
48.38,0.681639085894405,0.8835546475995915,0.7695729537366548
48.39,0.6813880126182965,0.8825331971399387,0.7690253671562083
48.4,0.6811708860759493,0.8794688457609806,0.7677218011591619
48.41,0.6809184481393508,0.8784473953013279,0.767172167707404
48.42,0.6812053925455988,0.8774259448416751,0.7669642857142858
48.43,0.6820349761526232,0.8764044943820225,0.7670987930263746
48.44,0.6823248407643312,0.8753830439223698,0.766890380313199
48.45,0.6820717131474103,0.874361593462717,0.7663384064458372
48.46,0.682615629984051,0.874361593462717,0.7666815942678011
48.47,0.6831604150039904,0.874361593462717,0.7670250896057348
48.48,0.6829073482428115,0.8733401430030644,0.7664724338861498
48.49,0.6824,0.8712972420837589,0.7653656348138179
48.5,0.6826923076923077,0.8702757916241062,0.7651549169286034
48.52,0.6824378508420208,0.8692543411644535,0.7646001796945192
48.53,0.6821829855537721,0.8682328907048008,0.7640449438202247
48.54,0.682475884244373,0.8672114402451481,0.7638326585695007
48.55,0.6817082997582594,0.86414708886619,0.762162162162162
48.56,0.6814516129032258,0.8631256384065373,0.761604326273096
48.57,0.6817447495961227,0.8621041879468846,0.7613892647722147
48.58,0.6809716599190283,0.8590398365679265,0.7597109304426377
48.59,0.6801948051948052,0.8559754851889684,0.7580280416101312
48.6,0.6799350121852152,0.8549540347293156,0.7574660633484163
48.61,0.6797066014669927,0.8518896833503575,0.7561196736174072
48.62,0.6794453507340946,0.8508682328907048,0.7555555555555555
48.63,0.6797385620915033,0.849846782431052,0.7553336359509759
48.65,0.6802943581357318,0.849846782431052,0.7556766575840145
48.66,0.6805896805896806,0.8488253319713994,0.7554545454545456
48.67,0.6811475409836065,0.8488253319713994,0.7557980900409277
48.69,0.6814449917898193,0.8478038815117467,0.7555757851615839
48.73,0.6820049301561216,0.8478038815117467,0.75591985428051
48.74,0.6820428336079077,0.8457609805924413,0.7551299589603283
48.75,0.6815181518151815,0.8437180796731358,0.7539936102236421
48.77,0.6809917355371901,0.8416751787538305,0.752855185015989
48.78,0.6812913907284768,0.8406537282941777,0.7526291723822587
48.79,0.6824212271973465,0.8406537282941777,0.7533180778032036
48.8,0.6821576763485477,0.839632277834525,0.7527472527472528
48.81,0.6827643630308077,0.8375893769152196,0.7522935779816514
48.83,0.6833333333333333,0.8375893769152196,0.752638825149151
48.84,0.6844741235392321,0.8375893769152196,0.7533302710151585
48.85,0.6839464882943144,0.8355464759959143,0.752183908045977
48.88,0.6834170854271356,0.8335035750766088,0.7510354348826506
48.89,0.6840336134453782,0.8314606741573034,0.7505763024435224
48.9,0.6835016835016835,0.8294177732379979,0.7494231656668205
48.91,0.6838111298482293,0.8283963227783453,0.7491916859122403
48.93,0.6835443037974683,0.8273748723186926,0.7486136783733826
48.95,0.6841216216216216,0.8273748723186926,0.7489597780859917
48.97,0.6844331641285956,0.8263534218590398,0.7487274409995373
48.98,0.6847457627118644,0.8253319713993871,0.7484946734599351
48.99,0.6844783715012722,0.8243105209397344,0.747914735866543
