threshold_C,precision,recall,f1,accuracy,tp,fp,fn,tn
48.02,0.6782675947409126,0.8958120531154239,0.7720070422535212,0.6685860524632118,877,416,102,168
48.04,0.6793183578621224,0.8958120531154239,0.7726872246696034,0.6698656429942419,877,414,102,170
48.07,0.6798449612403101,0.8958120531154239,0.7730277655354783,0.6705054382597568,877,413,102,171
48.11,0.6795965865011637,0.8947906026557712,0.7724867724867726,0.6698656429942419,876,413,103,171
48.13,0.679098679098679,0.8927477017364658,0.7714033539276258,0.6685860524632118,874,413,105,171
48.14,0.6788491446345256,0.891726251276813,0.7708609271523179,0.6679462571976967,873,413,106,171
48.15,0.6785992217898833,0.8907048008171604,0.7703180212014135,0.6673064619321817,872,413,107,171
48.2,0.6783489096573209,0.8896833503575077,0.7697746354396819,0.6666666666666666,871,413,108,171
48.21,0.6788776305533905,0.8896833503575077,0.7701149425287357,0.6673064619321817,871,412,108,172
48.22,0.6794071762870515,0.8896833503575077,0.7704555506413092,0.6679462571976967,871,411,108,173
48.23,0.6799375487900078,0.8896833503575077,0.7707964601769911,0.6685860524632118,871,410,108,174
48.24,0.68046875,0.8896833503575077,0.7711376715360779,0.6692258477287268,871,409,108,175
48.25,0.6802189210320563,0.8886618998978549,0.7705934455270149,0.6685860524632118,870,409,109,175
48.26,0.6799687010954617,0.8876404494382022,0.7700487372618521,0.6679462571976967,869,409,110,175
48.27,0.6805011746280345,0.8876404494382022,0.7703900709219859,0.6685860524632118,869,408,110,176
48.29,0.6802507836990596,0.8866189989785496,0.7698447893569845,0.6679462571976967,868,408,111,176
48.31,0.68,0.8855975485188968,0.769299023957409,0.6673064619321817,867,408,112,176
48.33,0.6797488226059655,0.8845760980592441,0.7687527740790058,0.6666666666666666,866,408,113,176
48.35,0.6794972505891594,0.8835546475995915,0.7682060390763766,0.6660268714011516,865,408,114,176
48.36,0.6805664830841857,0.8835546475995915,0.7688888888888887,0.6673064619321817,865,406,114,178
48.37,0.6811023622047244,0.8835546475995915,0.7692307692307693,0.6679462571976967,865,405,114,179
48.38,0.681639085894405,0.8835546475995915,0.7695729537366548,0.6685860524632118,865,404,114,180
48.39,0.6813880126182965,0.8825331971399387,0.7690253671562083,0.6679462571976967,864,404,115,180
48.4,0.6811708860759493,0.8794688457609806,0.7677218011591619,0.6666666666666666,861,403,118,181
48.41,0.6809184481393508,0.8784473953013279,0.767172167707404,0.6660268714011516,860,403,119,181
48.42,0.6812053925455988,0.8774259448416751,0.7669642857142858,0.6660268714011516,859,402,120,182
48.43,0.6820349761526232,0.8764044943820225,0.7670987930263746,0.6666666666666666,858,400,121,184
48.44,0.6823248407643312,0.8753830439223698,0.766890380313199,0.6666666666666666,857,399,122,185
48.45,0.6820717131474103,0.874361593462717,0.7663384064458372,0.6660268714011516,856,399,123,185
48.46,0.682615629984051,0.874361593462717,0.7666815942678011,0.6666666666666666,856,398,123,186
48.47,0.6831604150039904,0.874361593462717,0.7670250896057348,0.6673064619321817,856,397,123,187
48.48,0.6829073482428115,0.8733401430030644,0.7664724338861498,0.6666666666666666,855,397,124,187
48.49,0.6824,0.8712972420837589,0.7653656348138179,0.6653870761356366,853,397,126,187
48.5,0.6826923076923077,0.8702757916241062,0.7651549169286034,0.6653870761356366,852,396,127,188
48.52,0.6824378508420208,0.8692543411644535,0.7646001796945192,0.6647472808701216,851,396,128,188
48.53,0.6821829855537721,0.8682328907048008,0.7640449438202247,0.6641074856046065,850,396,129,188
48.54,0.682475884244373,0.8672114402451481,0.7638326585695007,0.6641074856046065,849,395,130,189
48.55,0.6817082997582594,0.86414708886619,0.762162162162162,0.6621880998080614,846,395,133,189
48.56,0.6814516129032258,0.8631256384065373,0.761604326273096,0.6615483045425464,845,395,134,189
48.57,0.6817447495961227,0.8621041879468846,0.7613892647722147,0.6615483045425464,844,394,135,190
48.58,0.6809716599190283,0.8590398365679265,0.7597109304426377,0.6596289187460013,841,394,138,190
48.59,0.6801948051948052,0.8559754851889684,0.7580280416101312,0.6577095329494562,838,394,141,190
48.6,0.6799350121852152,0.8549540347293156,0.7574660633484163,0.6570697376839412,837,394,142,190
48.61,0.6797066014669927,0.8518896833503575,0.7561196736174072,0.6557901471529111,834,393,145,191
48.62,0.6794453507340946,0.8508682328907048,0.7555555555555555,0.655150351887396,833,393,146,191
48.63,0.6797385620915033,0.849846782431052,0.7553336359509759,0.655150351887396,832,392,147,192
48.65,0.6802943581357318,0.849846782431052,0.7556766575840145,0.6557901471529111,832,391,147,193
48.66,0.6805896805896806,0.8488253319713994,0.7554545454545456,0.6557901471529111,831,390,148,194
48.67,0.6811475409836065,0.8488253319713994,0.7557980900409277,0.6564299424184261,831,389,148,195
48.69,0.6814449917898193,0.8478038815117467,0.7555757851615839,0.6564299424184261,830,388,149,196
48.73,0.6820049301561216,0.8478038815117467,0.75591985428051,0.6570697376839412,830,387,149,197
48.74,0.6820428336079077,0.8457609805924413,0.7551299589603283,0.6564299424184261,828,386,151,198
48.75,0.6815181518151815,0.8437180796731358,0.7539936102236421,0.655150351887396,826,386,153,198
48.77,0.6809917355371901,0.8416751787538305,0.752855185015989,0.653870761356366,824,386,155,198
48.78,0.6812913907284768,0.8406537282941777,0.7526291723822587,0.6538707613563659,823,385,156,199
48.79,0.6824212271973465,0.8406537282941777,0.7533180778032036,0.655150351887396,823,383,156,201
48.8,0.6821576763485477,0.839632277834525,0.7527472527472528,0.654510556621881,822,383,157,201
48.81,0.6827643630308077,0.8375893769152196,0.7522935779816514,0.654510556621881,820,381,159,203
48.83,0.6833333333333333,0.8375893769152196,0.752638825149151,0.655150351887396,820,380,159,204
48.84,0.6844741235392321,0.8375893769152196,0.7533302710151585,0.6564299424184261,820,378,159,206
48.85,0.6839464882943144,0.8355464759959143,0.752183908045977,0.655150351887396,818,378,161,206
48.88,0.6834170854271356,0.8335035750766088,0.7510354348826506,0.653870761356366,816,378,163,206
48.89,0.6840336134453782,0.8314606741573034,0.7505763024435224,0.653870761356366,814,376,165,208
48.9,0.6835016835016835,0.8294177732379979,0.7494231656668205,0.6525911708253359,812,376,167,208
48.91,0.6838111298482293,0.8283963227783453,0.7491916859122403,0.6525911708253359,811,375,168,209
48.93,0.6835443037974683,0.8273748723186926,0.7486136783733826,0.6519513755598209,810,375,169,209
48.95,0.6841216216216216,0.8273748723186926,0.7489597780859917,0.6525911708253359,810,374,169,210
48.97,0.6844331641285956,0.8263534218590398,0.7487274409995373,0.6525911708253359,809,373,170,211
48.98,0.6847457627118644,0.8253319713993871,0.7484946734599351,0.6525911708253359,808,372,171,212
48.99,0.6844783715012722,0.8243105209397344,0.747914735866543,0.6519513755598209,807,372,172,212
49.0,0.6848381601362862,0.8212461695607763,0.7468648397584766,0.6513115802943058,804,370,175,214
