threshold_ddg_kcal_mol,precision,recall,f1,accuracy,tp,fp,fn,tn
0.7652528908875164,0.3323529411764706,0.6726190476190477,0.44488188976377957,0.5784753363228697,113,227,55,274
0.7640716281391224,0.3303834808259587,0.6666666666666666,0.4418145956607495,0.5769805680119582,112,227,56,274
0.7631310076838232,0.33136094674556216,0.6666666666666666,0.4426877470355732,0.57847533632287,112,226,56,275
0.7625728494479929,0.3323442136498516,0.6666666666666666,0.4435643564356435,0.5799701046337817,112,225,56,276
0.7622826943685651,0.33035714285714285,0.6607142857142857,0.44047619047619047,0.57847533632287,111,225,57,276
0.7618963767283558,0.33134328358208953,0.6607142857142857,0.441351888667992,0.5799701046337817,111,224,57,277
0.7543226289175252,0.3323353293413174,0.6607142857142857,0.44223107569721115,0.5814648729446936,111,223,57,278
0.7509479839201818,0.3303303303303303,0.6547619047619048,0.43912175648702595,0.5799701046337817,110,223,58,278
0.7497969422807319,0.3313253012048193,0.6547619047619048,0.44,0.5814648729446936,110,222,58,279
0.7489866175481721,0.3323262839879154,0.6547619047619048,0.4408817635270541,0.5829596412556054,110,221,58,280
0.747383043298847,0.3333333333333333,0.6547619047619048,0.44176706827309237,0.5844544095665172,110,220,58,281
0.745407072138219,0.331306990881459,0.6488095238095238,0.43863179074446684,0.5829596412556054,109,220,59,281
0.7393909808699225,0.3323170731707317,0.6488095238095238,0.43951612903225806,0.5844544095665172,109,219,59,282
0.737489369084555,0.3333333333333333,0.6488095238095238,0.4404040404040404,0.585949177877429,109,218,59,283
0.7365536792753681,0.3343558282208589,0.6488095238095238,0.44129554655870445,0.5874439461883408,109,217,59,284
0.7357099935561977,0.3353846153846154,0.6488095238095238,0.4421906693711968,0.5889387144992526,109,216,59,285
0.7345971910455454,0.33641975308641975,0.6488095238095238,0.44308943089430897,0.5904334828101644,109,215,59,286
0.7342638485651346,0.33746130030959753,0.6488095238095238,0.4439918533604888,0.5919282511210763,109,214,59,287
0.7338594058602602,0.3385093167701863,0.6488095238095238,0.4448979591836734,0.593423019431988,109,213,59,288
0.7329204952117339,0.3395638629283489,0.6488095238095238,0.44580777096114516,0.5949177877428997,109,212,59,289
0.7266699323110087,0.340625,0.6488095238095238,0.44672131147540983,0.5964125560538116,109,211,59,290
